Start,End,X,Y,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bulgaria,Germany,2409.448,689.41895,948.0,968.0,802.0,817.0,815.0,829.0,1010.0,1028.0,1289.0,2275.0,11193.0,17420.0,31523.0,27350.0,-1.0,8165.0,6433.0,6485.0,5336.0,8199.0,10461.0,-1.0,13230.0,-1.0,11584.0,9022.0,7655.0,20702.0,23834.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,88792.0,-1.0,105686.0,-1.0,262462.0,314911.0
Croatia,Germany,2525.3535,788.9213,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38839.0,26177.0,-1.0,15127.0,12486.0,10219.0,10056.0,12552.0,14365.0,-1.0,12990.0,-1.0,10352.0,9208.0,8543.0,8684.0,8685.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,176585.0,-1.0,210184.0,-1.0,321527.0,385778.0
France,Germany,1446.3828,789.42566,19007.0,17014.0,13893.0,12517.0,13203.0,14146.0,14886.0,15407.0,16100.0,17205.0,17158.0,17701.0,18715.0,18590.0,-1.0,20374.0,21157.0,20458.0,20222.0,21516.0,21486.0,-1.0,18619.0,-1.0,18369.0,18603.0,19095.0,19627.0,19772.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,122911.0,-1.0,146297.0,-1.0,134829.0,161772.0
Greece,Germany,1704.2715,559.7153,16533.0,19301.0,13535.0,10704.0,9993.0,10362.0,12783.0,16596.0,34123.0,30522.0,27589.0,29332.0,24599.0,19093.0,-1.0,21200.0,19840.0,17305.0,16855.0,18497.0,18358.0,-1.0,15913.0,-1.0,10883.0,9692.0,8957.0,8908.0,9162.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,181290.0,-1.0,215784.0,-1.0,326297.0,391502.0
Hungary,Germany,1812.9111,1250.7676,7453.0,7709.0,6843.0,5125.0,5770.0,5932.0,7140.0,8938.0,12966.0,15372.0,16708.0,25676.0,28652.0,24853.0,-1.0,19487.0,17333.0,11942.0,14036.0,15677.0,16872.0,-1.0,17211.0,-1.0,17990.0,19181.0,19274.0,22880.0,25872.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,145629.0,-1.0,173338.0,-1.0,184004.0,220774.0
Italy,Germany,1738.6813,753.7752,88865.0,67567.0,43834.0,38491.0,40238.0,41948.0,49243.0,48005.0,44549.0,43061.0,39679.0,38372.0,32801.0,34238.0,-1.0,50642.0,48510.0,41557.0,37660.0,37212.0,35385.0,-1.0,26882.0,-1.0,21422.0,20268.0,20130.0,20771.0,22449.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,349395.0,-1.0,415875.0,-1.0,578841.0,694514.0
Kazakhstan,Germany,2320.5483,1159.8596,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,86864.0,107076.0,-1.0,123277.0,98137.0,83242.0,56128.0,54054.0,54906.0,-1.0,45865.0,-1.0,24698.0,15384.0,4806.0,3827.0,3313.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,848587.0,-1.0,1020277.0,-1.0,940296.0,1128201.0
Poland,Germany,1997.7913,1224.6082,67940.0,135278.0,58786.0,55525.0,82433.0,89686.0,105384.0,158226.0,313792.0,455075.0,300693.0,145663.0,143709.0,81740.0,-1.0,99706.0,91314.0,85615.0,82049.0,90168.0,94105.0,100522.0,100968.0,-1.0,139283.0,159157.0,163643.0,153589.0,131308.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1592694.0,-1.0,1936653.0,-1.0,1784839.0,2141722.0
Romania,Germany,1870.2704,964.57684,18916.0,15599.0,15630.0,18629.0,19207.0,18224.0,16388.0,19785.0,20233.0,29483.0,174388.0,84165.0,121291.0,86559.0,-1.0,27217.0,19263.0,16509.0,18491.0,20149.0,25270.0,-1.0,24560.0,-1.0,23825.0,23387.0,23844.0,43456.0,47642.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,497518.0,-1.0,592182.0,-1.0,545759.0,654822.0
Russia,Germany,2604.7231,1162.3115,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,84509.0,85451.0,-1.0,107377.0,83378.0,67178.0,58633.0,67734.0,72152.0,-1.0,77403.0,-1.0,58594.0,42980.0,23241.0,20487.0,18611.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1198831.0
Turkey,Germany,2053.959,559.0372,213126.0,84711.0,43140.0,28345.0,34647.0,48095.0,62958.0,67136.0,79244.0,86643.0,84592.0,82818.0,81404.0,68618.0,-1.0,74558.0,74344.0,57148.0,49091.0,48383.0,50499.0,-1.0,58648.0,-1.0,42222.0,36341.0,31449.0,28926.0,28742.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1370193.0,-1.0,1661588.0,-1.0,1531333.0,1837282.0
Ukraine,Germany,2712.8833,805.61096,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9018.0,15112.0,-1.0,18514.0,16707.0,15486.0,16562.0,17713.0,21193.0,-1.0,24047.0,-1.0,17173.0,11780.0,7705.0,7777.0,6812.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,220141.0,-1.0,262027.0,-1.0,241486.0,289743.0
Albania,Greece,1508.4827,103.23075,-1.0,-1.0,-1.0,-1.0,-1.0,272.0,318.0,401.0,252.0,537.0,5346.0,4731.0,7412.0,500.0,-1.0,399.0,632.0,555.0,786.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,436566.0,-1.0,429428.0,-1.0,426449.0,446614.0
Italy,Canada,1256.3729,414.7652,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1757.0,1617.0,1251.0,1112.0,1226.0,934.0,821.0,975.0,1082.0,693.0,706.0,700.0,-1.0,-1.0,812.0,-1.0,553.0,849.0,1110.0,893.0,1247.0,918.0,836.0,769.0,634.0,709.0,947.0,1219.0,-1.0,235183.0,-1.0,280004.0,-1.0,252025.0,254831.0
